pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
100,0.75,0.3565068493150685,2.766405768972694,8578.612765071404
100,1.0,0.346689497716895,1.5976356784829564,8857.94971125876
100,1.25,0.3386986301369863,0.7982482275626283,9137.286657446113
100,1.5,0.3348173515981735,0.3290631161510356,9416.623603633467
100,1.75,0.3319634703196347,0.07231893253226455,9695.960549820822
100,2.0,0.33162100456621,0.0,9975.297496008174
100,2.25,0.33162100456621,0.0,10254.63444219553
100,2.5,0.33162100456621,0.0,10533.971388382883
100,2.75,0.3317351598173516,0.0,10813.308334570236
100,3.0,0.3317351598173516,0.0,11092.645280757592
100,3.25,0.33184931506849313,0.0,11371.982226944943
100,3.5,0.3319634703196347,0.0,11651.319173132299
100,3.75,0.3319634703196347,0.0,11930.656119319654
100,4.0,0.3321917808219178,0.0,12209.993065507006
100,5.0,0.3327625570776256,0.0,13327.340850256423
100,7.0,0.33321917808219176,0.0,15562.036419755255
100,10.0,0.33424657534246577,0.0,18914.079774003505
150,0.75,0.18287671232876712,30.544011257866746,8803.612765071404
150,1.0,0.17271689497716894,29.36383609855174,9082.94971125876
150,1.25,0.1682648401826484,28.804290640019108,9362.286657446113
150,1.5,0.1654109589041096,28.49968991068381,9641.623603633467
150,1.75,0.1639269406392694,28.304386445164667,9920.960549820822
150,2.0,0.16244292237442923,28.10913383262661,10200.297496008174
150,2.25,0.1610730593607306,27.91393983110852,10479.63444219553
150,2.5,0.1598173515981735,27.71880765816268,10758.971388382883
150,2.75,0.15833333333333333,27.524899692199206,11038.308334570236
150,3.0,0.1567351598173516,27.331136593119567,11317.645280757592
150,3.25,0.15559360730593608,27.137424864038227,11596.982226944943
150,3.5,0.15422374429223745,26.943892734183848,11876.319173132299
150,3.75,0.1530821917808219,26.750373568857466,12155.656119319654
150,4.0,0.1517123287671233,26.55689436383671,12434.993065507006
150,5.0,0.14634703196347032,25.783551030649402,13552.340850256423
150,7.0,0.1363013698630137,24.241485132357933,15787.036419755255
150,10.0,0.12077625570776256,21.94050682051205,19139.079774003505
200,0.75,0.11312785388127854,70.10962008847046,9028.612765071404
200,1.0,0.10171232876712329,68.67917916131123,9307.94971125876
200,1.25,0.09463470319634704,67.79166684657433,9587.286657446113
200,1.5,0.09052511415525114,67.28002772094102,9866.623603633467
200,1.75,0.08789954337899543,66.91186746549732,10145.960549820822
200,2.0,0.08584474885844749,66.67252686190808,10425.297496008174
200,2.25,0.08458904109589041,66.47247347482605,10704.63444219553
200,2.5,0.08321917808219179,66.27244266628871,10983.971388382883
200,2.75,0.0817351598173516,66.07281738188502,11263.308334570236
200,3.0,0.08036529680365297,65.87328227856287,11542.645280757592
200,3.25,0.07922374429223744,65.67378905918808,11821.982226944943
200,3.5,0.07773972602739726,65.47454342193008,12101.319173132299
200,3.75,0.07671232876712329,65.27552662919521,12380.656119319654
200,4.0,0.07545662100456621,65.0765811677273,12659.993065507006
200,5.0,0.07009132420091324,64.28121392002582,13777.340850256423
200,7.0,0.06015981735159817,62.69275293753155,16012.036419755255
200,10.0,0.04497716894977169,60.322477710729466,19364.079774003505
250,0.75,0.07922374429223744,113.88347273600914,9253.612765071404
250,1.0,0.06609589041095891,112.20399064899827,9532.94971125876
250,1.25,0.0591324200913242,111.26241136830808,9812.286657446113
250,1.5,0.053082191780821915,110.51019456249536,10091.623603633467
250,1.75,0.049315068493150684,109.96949158962255,10370.960549820822
250,2.0,0.04554794520547945,109.4630614759323,10650.297496008174
250,2.25,0.04246575342465753,109.08860665881961,10929.63444219553
250,2.5,0.04041095890410959,108.74487656316577,11208.971388382883
250,2.75,0.03892694063926941,108.53968560620724,11488.308334570236
250,3.0,0.037100456621004564,108.3346245819152,11767.645280757592
250,3.25,0.03595890410958904,108.12968069469424,12046.982226944943
250,3.5,0.034703196347031964,107.92483390594175,12326.319173132299
250,3.75,0.033105022831050226,107.72011657072092,12605.656119319654
250,4.0,0.03184931506849315,107.51549078031233,12884.993065507006
250,5.0,0.026598173515981736,106.69813307920614,14002.340850256423
250,7.0,0.016552511415525113,105.06974619985843,16237.036419755255
250,10.0,0.0018264840182648401,102.6361748133525,19589.079774003505
300,0.75,0.06095890410958904,159.4889392771443,9478.612765071404
300,1.0,0.04554794520547945,157.56705446974328,9757.94971125876
300,1.25,0.03573059360730593,156.3011903971238,10037.286657446113
300,1.5,0.030821917808219176,155.59051474556577,10316.623603633467
300,1.75,0.026598173515981736,155.0818711718475,10595.960549820822
300,2.0,0.023744292237442923,154.70558404968332,10875.297496008174
300,2.25,0.021232876712328767,154.33006117231736,11154.63444219553
300,2.5,0.01860730593607306,153.95478373810928,11433.971388382883
300,2.75,0.017123287671232876,153.7279561458974,11713.308334570236
300,3.0,0.015525114155251141,153.5173636382229,11992.645280757592
300,3.25,0.014383561643835616,153.30686021907772,12271.982226944943
300,3.5,0.013127853881278538,153.09637101664995,12551.319173132299
300,3.75,0.011872146118721462,152.88596414699091,12830.656119319654
300,4.0,0.010616438356164383,152.67559501230065,13109.993065507006
300,5.0,0.005593607305936073,151.83654847038625,14227.340850256423
300,7.0,0.0,150.72800655963474,16462.036419755255
300,10.0,0.0,150.1222802928847,19814.079774003505
350,0.75,0.04668949771689498,205.50989257077703,9703.612765071404
350,1.0,0.031050228310502283,203.5290669344738,9982.94971125876
350,1.25,0.02226027397260274,202.36966772672994,10262.286657446113
350,1.5,0.016552511415525113,201.65102641851874,10541.623603633467
350,1.75,0.012557077625570776,201.13183619049403,10820.960549820822
350,2.0,0.00993150684931507,200.80679882632876,11100.297496008174
350,2.25,0.008675799086757991,200.59486445390246,11379.63444219553
350,2.5,0.007420091324200913,200.38293386977227,11658.971388382883
350,2.75,0.006278538812785388,200.1710077029005,11938.308334570236
350,3.0,0.004908675799086758,199.95908605619667,12217.645280757592
