site,design,model,year,lolp_pct,unmet_hours
Birmingham,final,study,2020,0.0,0
Birmingham,final,pvgis,2005,0.8105022831050228,71
Birmingham,final,pvgis,2006,1.678082191780822,147
Birmingham,final,pvgis,2007,0.0228310502283105,2
Birmingham,final,pvgis,2008,0.6147540983606558,54
Birmingham,final,pvgis,2009,0.17123287671232876,15
Birmingham,final,pvgis,2010,0.0,0
Birmingham,final,pvgis,2011,0.14840182648401826,13
Birmingham,final,pvgis,2012,0.0,0
Birmingham,final,pvgis,2013,0.547945205479452,48
Birmingham,final,pvgis,2014,0.0,0
Birmingham,final,pvgis,2015,0.03424657534246575,3
Birmingham,final,pvgis,2016,0.0,0
Birmingham,final,pvgis,2017,0.12557077625570776,11
Birmingham,final,pvgis,2018,0.0,0
Birmingham,final,pvgis,2019,0.8904109589041096,78
Birmingham,final,pvgis,2020,0.2163023679417122,19
Liverpool,tmy,study,2005,1.0616438356164384,93
Liverpool,tmy,study,2006,2.8767123287671232,252
Liverpool,tmy,study,2007,0.228310502283105,20
Liverpool,tmy,study,2008,1.2636612021857925,111
Liverpool,tmy,study,2009,0.46803652968036524,41
Liverpool,tmy,study,2010,0.31963470319634707,28
Liverpool,tmy,study,2011,0.14840182648401826,13
Liverpool,tmy,study,2012,0.26183970856102007,23
Liverpool,tmy,study,2013,0.4794520547945206,42
Liverpool,tmy,study,2014,0.14840182648401826,13
Liverpool,tmy,study,2015,0.182648401826484,16
Liverpool,tmy,study,2016,0.34153005464480873,30
Liverpool,tmy,study,2017,0.410958904109589,36
Liverpool,tmy,study,2018,0.0,0
Liverpool,tmy,study,2019,1.187214611872146,104
Liverpool,tmy,study,2020,0.44398907103825136,39
Liverpool,tmy,pvgis,2005,2.04337899543379,179
Liverpool,tmy,pvgis,2006,4.08675799086758,358
Liverpool,tmy,pvgis,2007,0.9703196347031963,85
Liverpool,tmy,pvgis,2008,1.5938069216757742,140
Liverpool,tmy,pvgis,2009,0.7534246575342466,66
Liverpool,tmy,pvgis,2010,0.6392694063926941,56
Liverpool,tmy,pvgis,2011,0.776255707762557,68
Liverpool,tmy,pvgis,2012,0.9335154826958106,82
Liverpool,tmy,pvgis,2013,1.0616438356164384,93
Liverpool,tmy,pvgis,2014,0.593607305936073,52
Liverpool,tmy,pvgis,2015,1.038812785388128,91
Liverpool,tmy,pvgis,2016,0.7741347905282332,68
Liverpool,tmy,pvgis,2017,1.2442922374429224,109
Liverpool,tmy,pvgis,2018,0.0684931506849315,6
Liverpool,tmy,pvgis,2019,1.872146118721461,164
Liverpool,tmy,pvgis,2020,1.2750455373406193,112
Liverpool,final,study,2005,0.2511415525114155,22
Liverpool,final,study,2006,2.6255707762557075,230
Liverpool,final,study,2007,0.5251141552511416,46
Liverpool,final,study,2008,0.6261384335154827,55
Liverpool,final,study,2009,0.0,0
Liverpool,final,study,2010,0.07990867579908677,7
Liverpool,final,study,2011,0.045662100456621,4
Liverpool,final,study,2012,0.0,0
Liverpool,final,study,2013,0.12557077625570776,11
Liverpool,final,study,2014,0.0,0
Liverpool,final,study,2015,0.12557077625570776,11
Liverpool,final,study,2016,0.04553734061930783,4
Liverpool,final,study,2017,0.0,0
Liverpool,final,study,2018,0.0,0
Liverpool,final,study,2019,0.5136986301369862,45
Liverpool,final,study,2020,0.0,0
Liverpool,final,pvgis,2005,0.91324200913242,80
Liverpool,final,pvgis,2006,3.6073059360730597,316
Liverpool,final,pvgis,2007,0.8675799086757991,76
Liverpool,final,pvgis,2008,0.9562841530054645,84
Liverpool,final,pvgis,2009,0.1141552511415525,10
Liverpool,final,pvgis,2010,0.3424657534246575,30
Liverpool,final,pvgis,2011,0.2625570776255708,23
Liverpool,final,pvgis,2012,0.25045537340619306,22
Liverpool,final,pvgis,2013,0.5136986301369862,45
Liverpool,final,pvgis,2014,0.03424657534246575,3
Liverpool,final,pvgis,2015,0.6278538812785388,55
Liverpool,final,pvgis,2016,0.17076502732240437,15
Liverpool,final,pvgis,2017,0.2511415525114155,22
Liverpool,final,pvgis,2018,0.0,0
Liverpool,final,pvgis,2019,0.9018264840182649,79
Liverpool,final,pvgis,2020,0.5692167577413478,50
Edinburgh,tmy,study,2005,2.054794520547945,180
Edinburgh,tmy,study,2006,0.684931506849315,60
Edinburgh,tmy,study,2007,0.136986301369863,12
Edinburgh,tmy,study,2008,0.8993624772313297,79
Edinburgh,tmy,study,2009,2.363013698630137,207
