pv_wp,battery_kwh,cost_index,years_ok_study,mean_study,max_study,years_ok_pvgis,mean_pvgis,max_pvgis
100.0,0.75,8578.612765071404,0,42.3684388021808,46.1986301369863,0,43.70884484866632,47.52283105022831
100.0,1.0,8857.94971125876,0,41.7331305206228,45.582191780821915,0,43.123444400778496,46.95205479452055
100.0,1.25,9137.286657446113,0,41.33815842004142,45.17123287671233,0,42.78196697919006,46.666666666666664
100.0,1.5,9416.623603633467,0,41.10148316054096,44.94292237442922,0,42.57308392282357,46.51826484018265
100.0,1.75,9695.960549820822,0,40.93253884709434,44.954337899543376,0,42.42053967986625,46.54109589041096
100.0,2.0,9975.297496008174,0,40.80565809254685,44.97716894977169,0,42.312916775831525,46.54109589041096
100.0,2.25,10254.63444219553,0,40.7329172592759,44.98858447488585,0,42.24589930009732,46.56392694063927
100.0,2.5,10533.971388382883,0,40.67800343713352,45.0,0,42.18456229570577,46.586757990867575
100.0,2.75,10813.308334570236,0,40.62022988559523,45.0,0,42.148187005639144,46.586757990867575
100.0,3.0,11092.645280757592,0,40.57959131796292,45.02283105022831,0,42.13108321169249,46.598173515981735
100.0,3.25,11371.982226944943,0,40.56748181625371,45.02283105022831,0,42.11969497779275,46.598173515981735
100.0,3.5,11651.319173132299,0,40.551091492626696,45.02283105022831,0,42.11044325610699,46.60958904109589
100.0,3.75,11930.656119319654,0,40.541122401876386,45.02283105022831,0,42.10261067757068,46.6324200913242
100.0,4.0,12209.993065507006,0,40.52687833732564,45.034246575342465,0,42.0912146461811,46.6324200913242
100.0,5.0,13327.340850256423,0,40.499134868503134,45.07990867579908,0,42.0684713177134,46.65525114155251
100.0,7.0,15562.036419755255,0,40.53057434750605,45.14840182648402,0,42.12338708922824,46.735159817351594
100.0,10.0,18914.079774003505,0,40.63253822329516,45.21689497716895,0,42.23176829914914,46.837899543378995
150.0,0.75,8803.612765071404,0,22.372895067619833,26.986301369863014,0,23.96705287633805,28.584474885844745
150.0,1.0,9082.94971125876,0,21.02544983718841,25.799086757990867,0,22.388624553983583,27.19178082191781
150.0,1.25,9362.286657446113,0,20.22273724642563,25.239726027397257,0,21.46395142475734,26.6324200913242
150.0,1.5,9641.623603633467,0,19.74443532138134,24.977168949771688,0,20.885829933627765,26.232876712328768
150.0,1.75,9920.960549820822,0,19.414424108590964,24.65753424657534,0,20.48949912044315,25.9703196347032
150.0,2.0,10200.297496008174,0,19.18062027472116,24.463470319634702,0,20.207937610724354,25.662100456621005
150.0,2.25,10479.63444219553,0,18.97603363525214,24.292237442922374,0,19.96915118085186,25.422374429223744
150.0,2.5,10758.971388382883,0,18.788583929061556,24.143835616438356,0,19.763874463532698,25.251141552511413
150.0,2.75,11038.308334570236,0,18.611812885195995,24.006849315068493,0,19.585662833420663,25.11415525114155
150.0,3.0,11317.645280757592,0,18.457118484417496,23.82420091324201,0,19.426697357586647,24.977168949771688
150.0,3.25,11596.982226944943,0,18.31311834094368,23.710045662100455,0,19.270585763031164,24.85159817351598
150.0,3.5,11876.319173132299,0,18.161977646156153,23.527397260273972,0,19.123735637023728,24.680365296803654
150.0,3.75,12155.656119319654,0,18.028667861242106,23.424657534246577,0,18.993275834643313,24.554794520547947
150.0,4.0,12434.993065507006,0,17.896050103550664,23.28767123287671,0,18.848558322104946,24.394977168949772
150.0,5.0,13552.340850256423,0,17.36203316428375,22.773972602739725,0,18.330222134890334,23.892694063926943
150.0,7.0,15787.036419755255,0,16.344585501035507,21.769406392694062,0,17.324909315193253,22.876712328767123
150.0,10.0,19139.079774003505,0,14.8401884965192,20.308219178082194,0,15.833333333333334,21.34703196347032
200.0,0.75,9028.612765071404,0,14.148030665968012,17.84246575342466,0,15.695161813508996,19.623287671232877
200.0,1.0,9307.94971125876,0,12.537468888015571,16.232876712328768,0,13.795874582054546,17.853881278538815
200.0,1.25,9587.286657446113,0,11.70903042892432,15.490867579908677,0,12.836995814307457,16.963470319634702
200.0,1.5,9866.623603633467,0,11.137185917109564,14.805936073059362,0,12.21171900341842,16.28995433789954
200.0,1.75,10145.960549820822,0,10.715096096264691,14.098173515981735,0,11.774696989545125,15.582191780821919
200.0,2.0,10425.297496008174,0,10.439862249544628,13.721461187214611,0,11.479519113207076,15.228310502283104
200.0,2.25,10704.63444219553,0,10.233776542655388,13.481735159817351,0,11.238506499987523,14.908675799086756
200.0,2.5,10983.971388382883,0,10.034841133942162,13.184931506849315,0,11.045970881053972,14.691780821917808
200.0,2.75,11263.308334570236,0,9.868692220600344,12.88812785388128,0,10.876272160466103,14.417808219178083
200.0,3.0,11542.645280757592,0,9.711104951094143,12.751141552511417,0,10.716550328118373,14.15525114155251
200.0,3.25,11821.982226944943,0,9.572060112408614,12.579908675799087,0,10.564672770541707,14.018264840182649
200.0,3.5,12101.319173132299,0,9.440879042218729,12.465753424657535,0,10.43063197095591,13.89269406392694
200.0,3.75,12380.656119319654,0,9.308271031389575,12.32876712328767,0,10.295152534496095,13.75570776255708
200.0,4.0,12659.993065507006,0,9.176364794645307,12.203196347031964,0,10.170388798438006,13.641552511415526
200.0,5.0,13777.340850256423,0,8.668023040022955,11.678082191780822,0,9.6584601984929,13.150684931506849
200.0,7.0,16012.036419755255,0,7.653462397385034,10.639269406392694,0,8.662445885420565,12.203196347031964
200.0,10.0,19364.079774003505,0,6.156198146692617,9.1324200913242,0,7.183720166803902,10.707762557077626
250.0,0.75,9253.612765071404,0,10.063440377273748,12.54566210045662,0,11.564303169523667,14.520547945205479
250.0,1.0,9532.94971125876,0,8.272510963270705,10.69634703196347,0,9.55306737655014,12.454337899543379
250.0,1.25,9812.286657446113,0,7.2122238908850465,9.440639269406393,0,8.378030494423236,11.027397260273974
250.0,1.5,10091.623603633467,0,6.528417171944007,8.949771689497716,0,7.592990914364848,10.19406392694064
250.0,1.75,10370.960549820822,0,6.008597512288844,8.561643835616438,0,7.024663070464356,9.885844748858448
250.0,2.0,10650.297496008174,0,5.625729065299298,8.310502283105023,0,6.56833447176685,9.623287671232877
250.0,2.25,10929.63444219553,0,5.33414193302892,8.02511415525114,0,6.219671663298151,9.360730593607306
250.0,2.5,11208.971388382883,0,5.08104710931457,7.739726027397261,0,5.960867127654265,9.10958904109589
250.0,2.75,11488.308334570236,0,4.877160294557976,7.431506849315069,0,5.721312645033311,8.801369863013699
250.0,3.0,11767.645280757592,0,4.728879329166355,7.30593607305936,0,5.538796800533973,8.538812785388128
250.0,3.25,12046.982226944943,0,4.589840338598199,7.180365296803654,0,5.381209531027771,8.276255707762557
