pv_wp,battery_kwh,cost_index,years_ok_study,mean_study,max_study,years_ok_pvgis,mean_pvgis,max_pvgis
100.0,0.75,8578.612765071404,0,42.917758315243155,46.46118721461187,0,44.1811660990094,48.0365296803653
100.0,1.0,8857.94971125876,0,42.19190363238266,45.81050228310502,0,43.475253496394444,47.328767123287676
100.0,1.25,9137.286657446113,0,41.76764415999202,45.47945205479452,0,43.078821315842006,47.077625570776256
100.0,1.5,9416.623603633467,0,41.45887525887667,45.36529680365297,0,42.808591508221674,46.9634703196347
100.0,1.75,9695.960549820822,0,41.249966860668216,45.21689497716895,0,42.608958224168475,46.82648401826484
100.0,2.0,9975.297496008174,0,41.10449299161614,45.2283105022831,0,42.47991171682012,46.837899543378995
100.0,2.5,10533.971388382883,0,40.909867645407594,45.23972602739726,0,42.31803972665119,46.837899543378995
100.0,3.0,11092.645280757592,0,40.781489772812336,45.30821917808219,0,42.21321417209372,46.86073059360731
100.0,4.0,12209.993065507006,0,40.70665336414901,45.3310502283105,0,42.136245149961326,46.88356164383561
100.0,5.0,13327.340850256423,0,40.658238749781674,45.38812785388128,0,42.092811182224224,46.89497716894977
100.0,7.0,15562.036419755255,0,40.59844369900442,45.4337899543379,0,42.08362184045713,46.95205479452055
100.0,10.0,18914.079774003505,0,40.71820729470769,45.60502283105023,0,42.182725986850315,47.04337899543379
150.0,0.75,8803.612765071404,0,23.942985923971356,26.94063926940639,0,25.5670412580782,28.74429223744292
150.0,1.0,9082.94971125876,0,22.491506584200415,25.273972602739725,0,23.8882105072735,26.837899543378995
150.0,1.25,9362.286657446113,0,21.726547489832072,24.61187214611872,0,22.954307099458543,25.878995433789953
150.0,1.5,9641.623603633467,0,21.24172686328817,24.22374429223744,0,22.365425072360708,25.490867579908677
150.0,1.75,9920.960549820822,0,20.88806781320957,24.04109589041096,0,21.97331270117524,25.159817351598175
150.0,2.0,10200.297496008174,0,20.639930243655964,23.91552511415525,0,21.665263118496895,24.95433789954338
150.0,2.5,10758.971388382883,0,20.278460058138084,23.63013698630137,0,21.22888439753475,24.69178082191781
150.0,3.0,11317.645280757592,0,19.98042635114904,23.333333333333332,0,20.920864055443275,24.429223744292237
